"","Assay_Type_s","AssemblyName_s","BioSample_s","Experiment_s","InsertSize_l","LibraryLayout_s","MBases_l","Run_s","SRA_Sample_s","Sample_Name_s","body_site_s","gap_sample_id_s","gap_subject_id_s"
"7263","RNA-Seq","GRCh37","SAMN02792229","SRX606552",150,"PAIRED",5868,"SRR1417894","SRS639400","GTEX-144GL-2026-SM-5LU3O","Breast - Mammary Tissue",1270819,985120
"7264","RNA-Seq","GRCh37","SAMN02790318","SRX606563",150,"PAIRED",7991,"SRR1417912","SRS639401","GTEX-R55F-1326-SM-5S2V4","Brain - Cortex",1271667,678152
"7265","RNA-Seq","GRCh37","SAMN02793181","SRX606571",150,"PAIRED",4375,"SRR1417936","SRS639402","GTEX-XBEW-0526-SM-4QASO","Artery - Aorta",1272095,847755
"7266","RNA-Seq","GRCh37","SAMN02790385","SRX606585",150,"PAIRED",7242,"SRR1417960","SRS639403","GTEX-132QS-0526-SM-5IJC7","Heart - Atrial Appendage",1269162,985027
"7267","RNA-Seq","GRCh37","SAMN02790813","SRX606590",150,"PAIRED",6526,"SRR1417981","SRS639404","GTEX-11O72-2826-SM-5HL6W","Brain - Cerebellum",1267917,984963
"7268","RNA-Seq","GRCh37","SAMN02792424","SRX606603",150,"PAIRED",5004,"SRR1418001","SRS639405","GTEX-14753-0226-SM-5Q5CH","Artery - Tibial",1271092,985138
"7269","RNA-Seq","GRCh37","SAMN02792568","SRX606613",150,"PAIRED",5180,"SRR1418022","SRS639406","GTEX-13OW6-0626-SM-5L3IB","Muscle - Skeletal",1270271,985088
"7270","RNA-Seq","GRCh37","SAMN02787866","SRX606620",150,"PAIRED",5851,"SRR1418041","SRS639407","GTEX-ZZ64-0226-SM-5E44X","Esophagus - Mucosa",1273784,985263
"7271","RNA-Seq","GRCh37","SAMN02790101","SRX606635",150,"PAIRED",5131,"SRR1418064","SRS639408","GTEX-13X6H-2526-SM-5QGOT","Artery - Tibial",1270713,985113
"7272","RNA-Seq","GRCh37","SAMN02791693","SRX606638",150,"PAIRED",4972,"SRR1418085","SRS639409","GTEX-14DAQ-2526-SM-5RQIO","Adipose - Visceral (Omentum)",1271378,985162
"7273","RNA-Seq","GRCh37","SAMN02791856","SRX606646",150,"PAIRED",6175,"SRR1418105","SRS639410","GTEX-11XUK-1426-SM-5EQMG","Small Intestine - Terminal Ileum",1268225,984979
"7274","RNA-Seq","GRCh37","SAMN02791220","SRX606660",150,"PAIRED",6468,"SRR1418127","SRS639411","GTEX-13FTZ-0011-R10b-SM-5KLZS","Brain - Frontal Cortex (BA9)",1269692,985059
"7275","RNA-Seq","GRCh37","SAMN02791066","SRX606669",150,"PAIRED",4723,"SRR1418145","SRS639412","GTEX-QMRM-0226-SM-4R1K7","Spleen",1271617,590974
"7276","RNA-Seq","GRCh37","SAMN02788159","SRX606672",150,"PAIRED",6017,"SRR1418162","SRS639413","GTEX-11ZTS-0126-SM-5EQ6M","Skin - Sun Exposed (Lower leg)",1268239,984980
"7277","RNA-Seq","GRCh37","SAMN02787415","SRX606684",150,"PAIRED",6037,"SRR1418183","SRS639414","GTEX-131XE-1526-SM-5KM1A","Esophagus - Gastroesophageal Junction",1268975,985018
"7278","RNA-Seq","GRCh37","SAMN02788942","SRX606692",150,"PAIRED",4008,"SRR1418201","SRS639415","GTEX-WZTO-1726-SM-4PQYV","Esophagus - Gastroesophageal Junction",1272004,721004
"7279","RNA-Seq","GRCh37","SAMN02793272","SRX606700",150,"PAIRED",6570,"SRR1418225","SRS639416","GTEX-13NYC-2626-SM-5K7VN","Minor Salivary Gland",1269907,985069
"7280","RNA-Seq","GRCh37","SAMN02787542","SRX606704",150,"PAIRED",4998,"SRR1418243","SRS639417","GTEX-13O3Q-2626-SM-5KM3S","Nerve - Tibial",1270086,985079
"7281","RNA-Seq","GRCh37","SAMN02788344","SRX606706",150,"PAIRED",6674,"SRR1418262","SRS639418","GTEX-11P81-1426-SM-5P9JN","Colon - Sigmoid",1268013,984968
"7282","RNA-Seq","GRCh37","SAMN02793694","SRX606713",150,"PAIRED",6886,"SRR1418283","SRS639419","GTEX-13OW5-0011-R5b-SM-5L3FR","Brain - Caudate (basal ganglia)",1270237,985087
"7283","RNA-Seq","GRCh37","SAMN02793214","SRX606723",150,"PAIRED",5769,"SRR1418302","SRS639420","GTEX-13FTX-1226-SM-5IFGN","Pancreas",1269672,985057
"7284","RNA-Seq","GRCh37","SAMN02789216","SRX606734",150,"PAIRED",4583,"SRR1418323","SRS639421","GTEX-131XH-2526-SM-5GCND","Nerve - Tibial",1269049,985021
"7285","RNA-Seq","GRCh37","SAMN02792514","SRX606744",150,"PAIRED",7066,"SRR1418346","SRS639422","GTEX-12BJ1-1426-SM-5BC5Q","Esophagus - Muscularis",1268461,984991
"7286","RNA-Seq","GRCh37","SAMN02789919","SRX606753",150,"PAIRED",6097,"SRR1418368","SRS639423","GTEX-ZY6K-0626-SM-59HJL","Esophagus - Mucosa",1273621,985254
"7287","RNA-Seq","GRCh37","SAMN02787992","SRX606769",150,"PAIRED",4102,"SRR1418390","SRS639424","GTEX-11ONC-1026-SM-5GU64","Heart - Atrial Appendage",1267961,984966
"7288","RNA-Seq","GRCh37","SAMN02788634","SRX606775",150,"PAIRED",4899,"SRR1418412","SRS639425","GTEX-13PVR-1826-SM-5Q5CC","Esophagus - Mucosa",1270431,985096
"7289","RNA-Seq","GRCh37","SAMN02792531","SRX606782",150,"PAIRED",8478,"SRR1418433","SRS639426","GTEX-1399R-0426-SM-5IJE3","Pancreas",1269215,985031
"7290","RNA-Seq","GRCh37","SAMN02787481","SRX606792",150,"PAIRED",6227,"SRR1418450","SRS639427","GTEX-ZPCL-2426-SM-57WFP","Nerve - Tibial",1273146,985225
"7291","RNA-Seq","GRCh37","SAMN02787729","SRX606799",150,"PAIRED",6148,"SRR1418473","SRS639428","GTEX-1192X-2926-SM-5N9BA","Minor Salivary Gland",1267483,984941
"7292","RNA-Seq","GRCh37","SAMN02788252","SRX606809",150,"PAIRED",6244,"SRR1418492","SRS639429","GTEX-ZF29-1726-SM-4WKFV","Colon - Transverse",1272984,985216
"7293","RNA-Seq","GRCh37","SAMN02789136","SRX606812",150,"PAIRED",7092,"SRR1418516","SRS639430","GTEX-145MG-1526-SM-5Q5EM","Skin - Not Sun Exposed (Suprapubic)",1270957,985130
"7294","RNA-Seq","GRCh37","SAMN02789265","SRX606827",150,"PAIRED",5553,"SRR1418540","SRS639431","GTEX-12ZZX-1326-SM-5DUWI","Esophagus - Mucosa",1268812,985010
"7295","RNA-Seq","GRCh37","SAMN02788715","SRX606839",150,"PAIRED",4015,"SRR1418561","SRS639432","GTEX-13S7M-0326-SM-5S2PH","Muscle - Skeletal",1270542,985104
"7296","RNA-Seq","GRCh37","SAMN02787431","SRX606853",150,"PAIRED",6278,"SRR1418581","SRS639433","GTEX-11ZVC-0326-SM-5CVLC","Artery - Aorta",1268315,984984
"7297","RNA-Seq","GRCh37","SAMN02788211","SRX606863",150,"PAIRED",6070,"SRR1418604","SRS639434","GTEX-14753-0011-R5a-SM-5S2VW","Brain - Caudate (basal ganglia)",1271088,985138
"7298","RNA-Seq","GRCh37","SAMN02793627","SRX606875",150,"PAIRED",6494,"SRR1418628","SRS639435","GTEX-ZZ64-0626-SM-5GZWR","Adipose - Visceral (Omentum)",1273788,985263
"7299","RNA-Seq","GRCh37","SAMN02788984","SRX606882",150,"PAIRED",6612,"SRR1418650","SRS639436","GTEX-13O3Q-0626-SM-5IJG1","Thyroid",1270078,985079
"7300","RNA-Seq","GRCh37","SAMN02789713","SRX606888",150,"PAIRED",4926,"SRR1418667","SRS639437","GTEX-ZAK1-1226-SM-5Q5AA","Artery - Aorta",1272761,985205
"7301","RNA-Seq","GRCh37","SAMN02790092","SRX606896",150,"PAIRED",5625,"SRR1418688","SRS639438","GTEX-13PVQ-0726-SM-5L3GI","Thyroid",1270404,985095
"7302","RNA-Seq","GRCh37","SAMN02793051","SRX606898",150,"PAIRED",10452,"SRR1418707","SRS639439","GTEX-11OF3-0006-SM-5O9CM","Whole Blood",1267929,984965
"7303","RNA-Seq","GRCh37","SAMN02793461","SRX606902",150,"PAIRED",7744,"SRR1418729","SRS639440","GTEX-13O3O-0826-SM-5K7WE","Breast - Mammary Tissue",1270037,985077
"7304","RNA-Seq","GRCh37","SAMN02788230","SRX606910",150,"PAIRED",7078,"SRR1418747","SRS639441","GTEX-1445S-2926-SM-5O993","Minor Salivary Gland",1270793,985118
"7305","RNA-Seq","GRCh37","SAMN02790259","SRX606922",150,"PAIRED",7272,"SRR1418771","SRS639442","GTEX-Y5V6-1126-SM-4VDTD","Esophagus - Muscularis",1272279,985181
"7306","RNA-Seq","GRCh37","SAMN02790751","SRX606923",150,"PAIRED",7573,"SRR1418795","SRS639443","GTEX-Y5V6-2126-SM-4WWFX","Breast - Mammary Tissue",1272286,985181
"7307","RNA-Seq","GRCh37","SAMN02789411","SRX606936",150,"PAIRED",5703,"SRR1418818","SRS639444","GTEX-13O3O-0011-R4b-SM-5KM3F","Brain - Amygdala",1270027,985077
"7308","RNA-Seq","GRCh37","SAMN02790671","SRX606942",150,"PAIRED",5383,"SRR1418837","SRS639445","GTEX-13OW8-0011-R10a-SM-5L3H6","Brain - Frontal Cortex (BA9)",1270312,985090
"7309","RNA-Seq","GRCh37","SAMN02792860","SRX606946",150,"PAIRED",6147,"SRR1418856","SRS639446","GTEX-WYJK-1226-SM-4ONCP","Artery - Aorta",1271965,721002
"7310","RNA-Seq","GRCh37","SAMN02789102","SRX606960",150,"PAIRED",5093,"SRR1418880","SRS639447","GTEX-11PRG-0326-SM-5GU53","Muscle - Skeletal",1268049,984970
"7311","RNA-Seq","GRCh37","SAMN02788884","SRX606969",150,"PAIRED",5184,"SRR1418902","SRS639448","GTEX-1211K-2026-SM-5EQ4Z","Skin - Sun Exposed (Lower leg)",1268348,984985
"7312","RNA-Seq","GRCh37","SAMN02789991","SRX606986",150,"PAIRED",6524,"SRR1418923","SRS639449","GTEX-12WSC-0011-R5b-SM-5CVNS","Brain - Caudate (basal ganglia)",1268562,984997
"7313","RNA-Seq","GRCh37","SAMN02792673","SRX606998",150,"PAIRED",6219,"SRR1418946","SRS639450","GTEX-ZAB4-1026-SM-5HL7T","Heart - Left Ventricle",1272702,985202
"7314","RNA-Seq","GRCh37","SAMN02788611","SRX607000",150,"PAIRED",7458,"SRR1418968","SRS639451","GTEX-Y9LG-0001-SM-4VBRQ","Cells - EBV-transformed lymphocytes",1272360,985185
"7315","RNA-Seq","GRCh37","SAMN02789682","SRX607009",150,"PAIRED",7708,"SRR1418992","SRS639452","GTEX-ZYFD-3026-SM-5E44C","Brain - Cortex",1273664,985256
"7316","RNA-Seq","GRCh37","SAMN02789554","SRX607018",150,"PAIRED",9800,"SRR1419015","SRS639453","GTEX-Y3IK-0226-SM-51MRJ","Adrenal Gland",1272201,985178
"7317","RNA-Seq","GRCh37","SAMN02792551","SRX607028",150,"PAIRED",7404,"SRR1419039","SRS639454","GTEX-ZYVF-0526-SM-5E43E","Uterus",1273710,985259
"7318","RNA-Seq","GRCh37","SAMN02788342","SRX607043",150,"PAIRED",7405,"SRR1419062","SRS639455","GTEX-Y5V6-0326-SM-4VBRW","Artery - Coronary",1272273,985181
"7319","RNA-Seq","GRCh37","SAMN02790295","SRX607046",150,"PAIRED",8622,"SRR1419086","SRS639456","GTEX-ZQG8-0001-SM-4YCDH","Cells - EBV-transformed lymphocytes",1273192,985228
"7320","RNA-Seq","GRCh37","SAMN02790115","SRX607059",150,"PAIRED",6529,"SRR1419110","SRS639457","GTEX-ZXG5-0326-SM-5GICH","Muscle - Skeletal",1273608,985253
"7321","RNA-Seq","GRCh37","SAMN02791738","SRX607069",150,"PAIRED",7800,"SRR1419131","SRS639458","GTEX-13CF3-0426-SM-5IJEU","Lung",1269474,985046
"7322","RNA-Seq","GRCh37","SAMN02789915","SRX607072",150,"PAIRED",5985,"SRR1419148","SRS639459","GTEX-13N2G-0011-R2a-SM-5MR4Q","Brain - Substantia nigra",1269851,985067
"7323","RNA-Seq","GRCh37","SAMN02787931","SRX607073",150,"PAIRED",5195,"SRR1419166","SRS639460","GTEX-ZT9X-1426-SM-5DUX1","Testis",1273264,985231
"7324","RNA-Seq","GRCh37","SAMN02791860","SRX607091",150,"PAIRED",4379,"SRR1419187","SRS639461","GTEX-ZE9C-3026-SM-4WKHB","Brain - Cortex",1272925,985213
"7325","RNA-Seq","GRCh37","SAMN02792980","SRX607103",150,"PAIRED",5600,"SRR1419211","SRS639462","GTEX-12WSJ-0326-SM-5GCMT","Thyroid",1268682,985004
"7326","RNA-Seq","GRCh37","SAMN02787259","SRX607118",150,"PAIRED",9179,"SRR1419234","SRS639463","GTEX-ZF29-0002-SM-4WKF2","Cells - EBV-transformed lymphocytes",1272969,985216
"7327","RNA-Seq","GRCh37","SAMN02790940","SRX607127",150,"PAIRED",4818,"SRR1419258","SRS639464","GTEX-13X6I-0526-SM-5QGP8","Muscle - Skeletal",1270724,985114
"7328","RNA-Seq","GRCh37","SAMN02793176","SRX607132",150,"PAIRED",6796,"SRR1419279","SRS639465","GTEX-YEC3-0526-SM-5IFHN","Artery - Aorta",1272437,985189
"7329","RNA-Seq","GRCh37","SAMN02791422","SRX607141",150,"PAIRED",4792,"SRR1419297","SRS639466","GTEX-12ZZZ-0626-SM-5DUXI","Skin - Sun Exposed (Lower leg)",1268853,985012
"7330","RNA-Seq","GRCh37","SAMN02791027","SRX607155",150,"PAIRED",6058,"SRR1419318","SRS639467","GTEX-11P7K-2326-SM-5EGKZ","Artery - Tibial",1268000,984967
"7331","RNA-Seq","GRCh37","SAMN02791912","SRX607160",150,"PAIRED",6556,"SRR1419342","SRS639468","GTEX-13OVG-1626-SM-5J1NF","Skin - Not Sun Exposed (Suprapubic)",1270128,985081
"7332","RNA-Seq","GRCh37","SAMN02792107","SRX607173",150,"PAIRED",5885,"SRR1419361","SRS639469","GTEX-13111-1526-SM-5EGJX","Testis",1268877,985013
"7333","RNA-Seq","GRCh37","SAMN02787335","SRX607183",150,"PAIRED",5705,"SRR1419385","SRS639470","GTEX-ZQUD-0526-SM-57WG4","Adipose - Visceral (Omentum)",1273220,985229
"7334","RNA-Seq","GRCh37","SAMN02789610","SRX607192",150,"PAIRED",5685,"SRR1419408","SRS639471","GTEX-132NY-0526-SM-5EQ4V","Nerve - Tibial",1269127,985025
"7335","RNA-Seq","GRCh37","SAMN02788595","SRX607200",150,"PAIRED",9619,"SRR1419429","SRS639472","GTEX-YEC3-0002-SM-4W1YI","Cells - EBV-transformed lymphocytes",1272429,985189
"7336","RNA-Seq","GRCh37","SAMN02790669","SRX607210",150,"PAIRED",6351,"SRR1419453","SRS639473","GTEX-11GS4-0526-SM-5A5KQ","Heart - Left Ventricle",1267708,984953
"7337","RNA-Seq","GRCh37","SAMN02788568","SRX607217",150,"PAIRED",5560,"SRR1419476","SRS639474","GTEX-13FH7-0426-SM-5KM4M","Artery - Coronary",1269536,985051
"7338","RNA-Seq","GRCh37","SAMN02787241","SRX607221",150,"PAIRED",5869,"SRR1419495","SRS639475","GTEX-ZLFU-1426-SM-4WWEU","Colon - Sigmoid",1273065,985221
"7339","RNA-Seq","GRCh37","SAMN02792507","SRX607232",150,"PAIRED",5580,"SRR1419518","SRS639476","GTEX-13FTW-1326-SM-5LZZD","Testis",1269650,985056
"7340","RNA-Seq","GRCh37","SAMN02788896","SRX607243",150,"PAIRED",5159,"SRR1419539","SRS639477","GTEX-ZF2S-1526-SM-5S2OO","Adipose - Visceral (Omentum)",1273005,985217
"7341","RNA-Seq","GRCh37","SAMN02791999","SRX607247",150,"PAIRED",7036,"SRR1419561","SRS639478","GTEX-WOFM-2126-SM-4OOSR","Minor Salivary Gland",1271881,720993
"7342","RNA-Seq","GRCh37","SAMN02788964","SRX607261",150,"PAIRED",5974,"SRR1419593","SRS639479","GTEX-12BJ1-0426-SM-5FQSO","Thyroid",1268452,984991
"7343","RNA-Seq","GRCh37","SAMN02791464","SRX607269",150,"PAIRED",7734,"SRR1419615","SRS639480","GTEX-ZT9W-0526-SM-57WFG","Heart - Atrial Appendage",1273239,985230
"7344","RNA-Seq","GRCh37","SAMN02789549","SRX607282",150,"PAIRED",6431,"SRR1419638","SRS639481","GTEX-1314G-0126-SM-5LZUL","Heart - Left Ventricle",1268952,985017
"7345","RNA-Seq","GRCh37","SAMN02793349","SRX607286",150,"PAIRED",6000,"SRR1419656","SRS639482","GTEX-13PVQ-1026-SM-5KM3M","Breast - Mammary Tissue",1270406,985095
"7346","RNA-Seq","GRCh37","SAMN02793303","SRX607289",150,"PAIRED",7494,"SRR1419675","SRS639483","GTEX-13O3Q-3026-SM-5IJGD","Brain - Cerebellum",1270090,985079
"7347","RNA-Seq","GRCh37","SAMN02788321","SRX607301",150,"PAIRED",6320,"SRR1419692","SRS639484","GTEX-1212Z-0526-SM-5FQSQ","Adipose - Visceral (Omentum)",1268374,984987
"7348","RNA-Seq","GRCh37","SAMN02791231","SRX607303",150,"PAIRED",8416,"SRR1419714","SRS639485","GTEX-13S7M-0011-R7a-SM-5O9DK","Brain - Putamen (basal ganglia)",1270538,985104
"7349","RNA-Seq","GRCh37","SAMN02793654","SRX607308",150,"PAIRED",7182,"SRR1419736","SRS639486","GTEX-Y8LW-0626-SM-4VDS8","Esophagus - Muscularis",1272346,985184
"7350","RNA-Seq","GRCh37","SAMN02790381","SRX607323",150,"PAIRED",6008,"SRR1419760","SRS639487","GTEX-ZDTT-2426-SM-4WKFX","Artery - Tibial",1272830,985209
"7351","RNA-Seq","GRCh37","SAMN02787695","SRX607331",150,"PAIRED",6497,"SRR1419784","SRS639488","GTEX-ZYVF-1726-SM-5E443","Lung",1273718,985259
"7352","RNA-Seq","GRCh37","SAMN02788898","SRX607345",150,"PAIRED",6159,"SRR1419807","SRS639489","GTEX-11ZTT-0926-SM-5EQMS","Esophagus - Muscularis",1268263,984981
"7353","RNA-Seq","GRCh37","SAMN02790077","SRX607349",150,"PAIRED",5340,"SRR1419829","SRS639490","GTEX-13OW5-0926-SM-5L3GZ","Heart - Atrial Appendage",1270247,985087
"7354","RNA-Seq","GRCh37","SAMN02792188","SRX607358",150,"PAIRED",4909,"SRR1419848","SRS639491","GTEX-14AS3-0226-SM-5Q5B6","Thyroid",1271251,985151
"7355","RNA-Seq","GRCh37","SAMN02787430","SRX607374",150,"PAIRED",5013,"SRR1419869","SRS639492","GTEX-XBEC-1026-SM-4QASM","Lung",1272092,847754
"7356","RNA-Seq","GRCh37","SAMN02787409","SRX607383",150,"PAIRED",6671,"SRR1419893","SRS639493","GTEX-ZE9C-0011-R2a-SM-4WKGH","Brain - Substantia nigra",1272909,985213
"7357","RNA-Seq","GRCh37","SAMN02789287","SRX607392",150,"PAIRED",8827,"SRR1419917","SRS639494","GTEX-14C5O-0226-SM-5SI6O","Adipose - Subcutaneous",1271363,985161
"7358","RNA-Seq","GRCh37","SAMN02790882","SRX607400",150,"PAIRED",7103,"SRR1419941","SRS639495","GTEX-YJ8A-1726-SM-5P9IQ","Colon - Sigmoid",1272608,985196
"7359","RNA-Seq","GRCh37","SAMN02790434","SRX607406",150,"PAIRED",5396,"SRR1419962","SRS639496","GTEX-11GSP-1726-SM-5A5LI","Esophagus - Muscularis",1267757,984955
"7360","RNA-Seq","GRCh37","SAMN02792550","SRX607421",150,"PAIRED",4857,"SRR1419985","SRS639497","GTEX-11LCK-1326-SM-5Q5AN","Nerve - Tibial",1267830,984959
"7361","RNA-Seq","GRCh37","SAMN02793282","SRX607427",150,"PAIRED",6492,"SRR1420006","SRS639498","GTEX-ZDYS-0126-SM-5HL6X","Artery - Coronary",1272862,985211
"7362","RNA-Seq","GRCh37","SAMN02792713","SRX607437",150,"PAIRED",4635,"SRR1420026","SRS639499","GTEX-12BJ1-1526-SM-5LUAQ","Esophagus - Gastroesophageal Junction",1268462,984991
"7363","RNA-Seq","GRCh37","SAMN02791161","SRX607442",150,"PAIRED",10287,"SRR1420043","SRS639500","GTEX-YEC4-0126-SM-4W21T","Spleen",1272468,985190
"7364","RNA-Seq","GRCh37","SAMN02791472","SRX607443",150,"PAIRED",5215,"SRR1420067","SRS639501","GTEX-1399R-2626-SM-5KLZ7","Adipose - Subcutaneous",1269234,985031
"7365","RNA-Seq","GRCh37","SAMN02793324","SRX607447",150,"PAIRED",9932,"SRR1420085","SRS639502","GTEX-Y3I4-0926-SM-4TT2B","Esophagus - Gastroesophageal Junction",1272183,985177
"7366","RNA-Seq","GRCh37","SAMN02792918","SRX607457",150,"PAIRED",4669,"SRR1420109","SRS639503","GTEX-13RTJ-2526-SM-5S2Q3","Adipose - Subcutaneous",1270514,985101
"7367","RNA-Seq","GRCh37","SAMN02790989","SRX607464",150,"PAIRED",4703,"SRR1420129","SRS639504","GTEX-13VXT-2026-SM-5L3EW","Colon - Sigmoid",1270644,985109
"7368","RNA-Seq","GRCh37","SAMN02791661","SRX607474",150,"PAIRED",6608,"SRR1420148","SRS639505","GTEX-13D11-2126-SM-5IFH2","Stomach",1269526,985050
"7369","RNA-Seq","GRCh37","SAMN02790658","SRX607478",150,"PAIRED",6890,"SRR1420169","SRS639506","GTEX-11DXY-1126-SM-5987W","Artery - Coronary",1267536,984944
"7370","RNA-Seq","GRCh37","SAMN02787239","SRX607491",150,"PAIRED",4892,"SRR1420191","SRS639507","GTEX-X3Y1-1226-SM-4PQZ8","Esophagus - Muscularis",1272038,721007
"7371","RNA-Seq","GRCh37","SAMN02791370","SRX607501",150,"PAIRED",8801,"SRR1420215","SRS639508","GTEX-13O3O-0011-R7b-SM-5P9GZ","Brain - Putamen (basal ganglia)",1270030,985077
"7372","RNA-Seq","GRCh37","SAMN02793332","SRX607505",150,"PAIRED",7500,"SRR1420238","SRS639509","GTEX-13FTX-1126-SM-5N9EN","Breast - Mammary Tissue",1269671,985057
"7373","RNA-Seq","GRCh37","SAMN02789673","SRX607511",150,"PAIRED",7856,"SRR1420259","SRS639510","GTEX-13QBU-1726-SM-5IJFQ","Vagina",1270451,985097
"7374","RNA-Seq","GRCh37","SAMN02792116","SRX607514",150,"PAIRED",5727,"SRR1420276","SRS639511","GTEX-ZQG8-1526-SM-5HL65","Adipose - Subcutaneous",1273204,985228
"7375","RNA-Seq","GRCh37","SAMN02788644","SRX607527",150,"PAIRED",8593,"SRR1420296","SRS639512","GTEX-ZU9S-1926-SM-5NQBP","Breast - Mammary Tissue",1273345,985236
"7376","RNA-Seq","GRCh37","SAMN02790286","SRX607539",150,"PAIRED",7991,"SRR1420320","SRS639513","GTEX-ZDXO-0006-SM-4WKGF","Whole Blood",1272833,985210
"7377","RNA-Seq","GRCh37","SAMN02793553","SRX607548",150,"PAIRED",6566,"SRR1420344","SRS639514","GTEX-ZVT3-0006-SM-51MT9","Whole Blood",1273484,985245
"7378","RNA-Seq","GRCh37","SAMN02787517","SRX607560",150,"PAIRED",6101,"SRR1420368","SRS639515","GTEX-11NUK-2626-SM-5A5MB","Testis",1267876,984961
"7379","RNA-Seq","GRCh37","SAMN02791773","SRX607572",150,"PAIRED",5505,"SRR1420391","SRS639516","GTEX-ZXES-1626-SM-5NQ7L","Colon - Transverse",1273594,985252
"7380","RNA-Seq","GRCh37","SAMN02788800","SRX607585",150,"PAIRED",5331,"SRR1420413","SRS639517","GTEX-11ILO-2026-SM-5N9CQ","Colon - Transverse",1267814,984958
"7381","RNA-Seq","GRCh37","SAMN02789389","SRX607587",150,"PAIRED",5913,"SRR1420432","SRS639518","GTEX-13YAN-1526-SM-5LU3E","Artery - Aorta",1270778,985117
"7382","RNA-Seq","GRCh37","SAMN02790738","SRX607591",150,"PAIRED",6498,"SRR1420450","SRS639519","GTEX-139UW-0326-SM-5J1ML","Skin - Not Sun Exposed (Suprapubic)",1269425,985043
"7383","RNA-Seq","GRCh37","SAMN02792887","SRX607602",150,"PAIRED",4847,"SRR1420469","SRS639520","GTEX-14A5H-0226-SM-5S2VK","Artery - Tibial",1271204,985147
"7384","RNA-Seq","GRCh37","SAMN02790823","SRX607615",150,"PAIRED",6967,"SRR1420493","SRS639521","GTEX-1313W-0011-R2a-SM-5EGLF","Brain - Substantia nigra",1268927,985016
"7385","RNA-Seq","GRCh37","SAMN02788042","SRX607628",150,"PAIRED",5012,"SRR1420517","SRS639522","GTEX-ZYW4-0826-SM-5GIDG","Breast - Mammary Tissue",1273732,985260
"7386","RNA-Seq","GRCh37","SAMN02791684","SRX607641",150,"PAIRED",5516,"SRR1420538","SRS639524","GTEX-14C5O-2626-SM-5RQI5","Colon - Sigmoid",1271367,985161
"7387","RNA-Seq","GRCh37","SAMN02789249","SRX607634",150,"PAIRED",5680,"SRR1420558","SRS639523","GTEX-14ICL-0006-SM-5SIAB","Whole Blood",1271429,985171
"7388","RNA-Seq","GRCh37","SAMN02789429","SRX607660",150,"PAIRED",6684,"SRR1420582","SRS639525","GTEX-147F3-0426-SM-5SI8V","Artery - Tibial",1271119,985140
"7389","RNA-Seq","GRCh37","SAMN02790912","SRX607663",150,"PAIRED",5865,"SRR1420606","SRS639526","GTEX-1212Z-0726-SM-5EGI5","Heart - Atrial Appendage",1268376,984987
"7390","RNA-Seq","GRCh37","SAMN02793029","SRX607682",150,"PAIRED",7167,"SRR1420625","SRS639527","GTEX-ZDXO-0011-R2b-SM-4WKFG","Brain - Substantia nigra",1272838,985210
"7391","RNA-Seq","GRCh37","SAMN02790514","SRX607690",150,"PAIRED",4618,"SRR1420649","SRS639528","GTEX-13RTJ-2226-SM-5S2Q1","Kidney - Cortex",1270512,985101
"7392","RNA-Seq","GRCh37","SAMN02790359","SRX607695",150,"PAIRED",5444,"SRR1420669","SRS639529","GTEX-11TUW-0006-SM-5LZW2","Whole Blood",1268100,984973
"7393","RNA-Seq","GRCh37","SAMN02791291","SRX607702",150,"PAIRED",5508,"SRR1420687","SRS639530","GTEX-11ZTT-1826-SM-5CVLN","Ovary",1268267,984981
"7394","RNA-Seq","GRCh37","SAMN02790694","SRX607710",150,"PAIRED",5666,"SRR1420710","SRS639531","GTEX-139TT-0126-SM-5K7Y5","Skin - Sun Exposed (Lower leg)",1269382,985040
"7395","RNA-Seq","GRCh37","SAMN02789297","SRX607716",150,"PAIRED",6472,"SRR1420728","SRS639532","GTEX-ZA64-0126-SM-5HL8Z","Artery - Aorta",1272664,985201
"7396","RNA-Seq","GRCh37","SAMN02787651","SRX607726",150,"PAIRED",6340,"SRR1420750","SRS639533","GTEX-11LCK-2226-SM-5HL4Q","Skin - Not Sun Exposed (Suprapubic)",1267837,984959
"7397","RNA-Seq","GRCh37","SAMN02788073","SRX607739",150,"PAIRED",7197,"SRR1420770","SRS639534","GTEX-ZYFG-1226-SM-5GIC7","Esophagus - Gastroesophageal Junction",1273676,985257
"7398","RNA-Seq","GRCh37","SAMN02791055","SRX607746",150,"PAIRED",5465,"SRR1420791","SRS639535","GTEX-11ONC-2226-SM-5HL6D","Testis",1267968,984966
"7399","RNA-Seq","GRCh37","SAMN02792552","SRX607760",150,"PAIRED",5970,"SRR1420811","SRS639536","GTEX-ZYT6-0926-SM-5GIEM","Heart - Atrial Appendage",1273694,985258
"7400","RNA-Seq","GRCh37","SAMN02792155","SRX607766",150,"PAIRED",6371,"SRR1420832","SRS639537","GTEX-13OW7-0626-SM-5K7UD","Artery - Tibial",1270302,985089
"7401","RNA-Seq","GRCh37","SAMN02792988","SRX607771",150,"PAIRED",7363,"SRR1420850","SRS639538","GTEX-ZT9W-1226-SM-57WE4","Esophagus - Muscularis",1273244,985230
"7402","RNA-Seq","GRCh37","SAMN02791266","SRX607780",150,"PAIRED",7848,"SRR1420873","SRS639539","GTEX-13FHP-0226-SM-5K7WD","Adipose - Subcutaneous",1269587,985053
